year,anomaly,gcm,scenario
1987,-0.130117893218994,MIROC-ESM,rcp45
1988,-0.0855009034276009,MIROC-ESM,rcp45
1989,-0.0883999019861221,MIROC-ESM,rcp45
1990,0.100686103105545,MIROC-ESM,rcp45
1991,-0.0404879003763199,MIROC-ESM,rcp45
1992,-0.345998913049698,MIROC-ESM,rcp45
1993,-0.284994900226593,MIROC-ESM,rcp45
1994,-0.16386990249157,MIROC-ESM,rcp45
1995,-0.121542900800705,MIROC-ESM,rcp45
1996,0.0248201005160809,MIROC-ESM,rcp45
1997,0.161600098013878,MIROC-ESM,rcp45
1998,0.0705050975084305,MIROC-ESM,rcp45
1999,0.119974099099636,MIROC-ESM,rcp45
2000,0.212716102600098,MIROC-ESM,rcp45
2001,0.33732008934021,MIROC-ESM,rcp45
2002,0.206918105483055,MIROC-ESM,rcp45
2003,0.122476100921631,MIROC-ESM,rcp45
2004,-0.0214138999581337,MIROC-ESM,rcp45
2005,0.0845730975270271,MIROC-ESM,rcp45
2006,0.209665104746819,MIROC-ESM,rcp45
2007,0.24900209903717,MIROC-ESM,rcp45
2008,0.213632106781006,MIROC-ESM,rcp45
2009,0.165933102369308,MIROC-ESM,rcp45
2010,0.363931089639664,MIROC-ESM,rcp45
2011,0.421914100646973,MIROC-ESM,rcp45
2012,0.559335112571716,MIROC-ESM,rcp45
2013,0.523507118225098,MIROC-ESM,rcp45
2014,0.549844086170197,MIROC-ESM,rcp45
2015,0.528818070888519,MIROC-ESM,rcp45
2016,0.498361110687256,MIROC-ESM,rcp45
2017,0.541849076747894,MIROC-ESM,rcp45
2018,0.573770105838776,MIROC-ESM,rcp45
2019,0.722116112709045,MIROC-ESM,rcp45
2020,0.702951073646545,MIROC-ESM,rcp45
2021,0.886178076267242,MIROC-ESM,rcp45
2022,0.892190098762512,MIROC-ESM,rcp45
2023,0.844125092029572,MIROC-ESM,rcp45
2024,0.899911105632782,MIROC-ESM,rcp45
2025,0.934366106987,MIROC-ESM,rcp45
2026,1.17521011829376,MIROC-ESM,rcp45
2027,1.13181412220001,MIROC-ESM,rcp45
2028,0.956430077552795,MIROC-ESM,rcp45
2029,1.12110304832458,MIROC-ESM,rcp45
2030,1.001993060112,MIROC-ESM,rcp45
2031,1.16858804225922,MIROC-ESM,rcp45
2032,1.2416170835495,MIROC-ESM,rcp45
2033,1.22104811668396,MIROC-ESM,rcp45
2034,1.43479311466217,MIROC-ESM,rcp45
2035,1.43424415588379,MIROC-ESM,rcp45
2036,1.34006607532501,MIROC-ESM,rcp45
2037,1.41236209869385,MIROC-ESM,rcp45
